First Name,Middle Name,Last Name,Extension Name,Email,Phone Number,Sex,Birthdate,Civil Status,Birth Certificate No,Facebook Account,Nationality,House No/Street,Barangay,District,City/Municipality,Province,Region,Birthplace City,Birthplace Province,Birthplace Region,Educational Attainment,Employment Status,Employment Type,Learner Classification,Is PWD,Disability Type,Disability Cause,Qualification,Batch Name,Scholarship Type,Enrollment Status,Enrollment Date,Privacy Consent,Trainee Status
Kevin,Malong,Ramos,,kevin.ramos.eim2027@example.com,09170012011,Male,2002-09-11,Single,BC20270011,kevin.ramos,Filipino,Zone 1,Aglayan,1st District,Malaybalay City,Bukidnon,REGION X,Malaybalay City,Bukidnon,REGION X,Senior High (K-12),Unemployed,,Student,No,,,Electrical Installation and Maintenance NC II,Electrical Installation and Maintenance NC II - Batch 2,TWSP,approved,2027-01-29 08:30:00,Yes,active
Lester,Pacana,Tan,,lester.tan.eim2027@example.com,09170012012,Male,1998-04-07,Single,BC20270012,lester.tan,Filipino,Purok 9,Camp Philips,District 2,Manolo Fortich,Bukidnon,REGION X,Cagayan de Oro City,Misamis Oriental,REGION X,College Undergraduate,Wage-Employed,Casual,Worker,No,,,Electrical Installation and Maintenance NC II,Electrical Installation and Maintenance NC II - Batch 2,TWSP,approved,2027-01-29 08:45:00,Yes,active
Mark,Abellanosa,Uy,,mark.uy.eim2027@example.com,09170012013,Male,2001-01-20,Single,BC20270013,mark.uy,Filipino,Lot 14,Sumpong,District 1,Malaybalay City,Bukidnon,REGION X,Malaybalay City,Bukidnon,REGION X,Senior High (K-12),Unemployed,,Student,No,,,Electrical Installation and Maintenance NC II,Electrical Installation and Maintenance NC II - Batch 2,TWSP,approved,2027-01-30 09:00:00,Yes,active
Noel,Soriano,Pineda,,noel.pineda.eim2027@example.com,09170012014,Male,1997-08-28,Married,BC20270014,noel.pineda,Filipino,Zone 6,Ticalaan,District 2,Valencia City,Bukidnon,REGION X,Valencia City,Bukidnon,REGION X,High School Graduate,Self-Employed,,Others,No,,,Electrical Installation and Maintenance NC II,Electrical Installation and Maintenance NC II - Batch 2,TWSP,approved,2027-01-30 09:15:00,Yes,active
Oliver,Barcena,Salazar,,oliver.salazar.eim2027@example.com,09170012015,Male,2000-10-25,Single,BC20270015,oliver.salazar,Filipino,Purok 4,Kalasungay,District 1,Malaybalay City,Bukidnon,REGION X,Malaybalay City,Bukidnon,REGION X,College Undergraduate,Wage-Employed,Contractual,Worker,No,,,Electrical Installation and Maintenance NC II,Electrical Installation and Maintenance NC II - Batch 2,TWSP,approved,2027-01-30 09:30:00,Yes,active
Patrick,Osabel,Gomez,Jr.,patrick.gomez.eim2027@example.com,09170012016,Male,1999-03-03,Single,BC20270016,patrick.gomez,Filipino,Blk 7,Macasandig,2nd District,Cagayan de Oro City,Misamis Oriental,REGION X,Cagayan de Oro City,Misamis Oriental,REGION X,Senior High (K-12),Unemployed,,Out-of-School Youth,No,,,Electrical Installation and Maintenance NC II,Electrical Installation and Maintenance NC II - Batch 2,TWSP,approved,2027-02-01 08:00:00,Yes,active
Queenie,Mariz,Bautista,,queenie.bautista.eim2027@example.com,09170012017,Female,2003-06-12,Single,BC20270017,queenie.bautista,Filipino,Sitio Proper,Mailag,District 1,Valencia City,Bukidnon,REGION X,Valencia City,Bukidnon,REGION X,Senior High (K-12),Unemployed,,Student,No,,,Electrical Installation and Maintenance NC II,Electrical Installation and Maintenance NC II - Batch 2,TWSP,approved,2027-02-01 08:15:00,Yes,active
Rhea,Joy,Castillo,,rhea.castillo.eim2027@example.com,09170012018,Female,2001-09-19,Single,BC20270018,rhea.castillo,Filipino,Zone 10,Poblacion,District 1,Don Carlos,Bukidnon,REGION X,Don Carlos,Bukidnon,REGION X,College Undergraduate,Wage-Employed,Casual,Worker,No,,,Electrical Installation and Maintenance NC II,Electrical Installation and Maintenance NC II - Batch 2,TWSP,approved,2027-02-01 08:30:00,Yes,active
Samantha,Grace,Lopez,,samantha.lopez.eim2027@example.com,09170012019,Female,2002-12-05,Single,BC20270019,samantha.lopez,Filipino,Purok 3,Pagatpat,2nd District,Cagayan de Oro City,Misamis Oriental,REGION X,Cagayan de Oro City,Misamis Oriental,REGION X,Senior High (K-12),Unemployed,,Student,Yes,Orthopedic,Accident Related,Electrical Installation and Maintenance NC II,Electrical Installation and Maintenance NC II - Batch 2,TWSP,approved,2027-02-02 09:00:00,Yes,active
Trisha,Mae,Valdez,,trisha.valdez.eim2027@example.com,09170012020,Female,2000-04-16,Married,BC20270020,trisha.valdez,Filipino,Lot 2,Lumbo,District 2,Valencia City,Bukidnon,REGION X,Quezon,Bukidnon,REGION X,College Graduate,Wage-Employed,Regular,Worker,No,,,Electrical Installation and Maintenance NC II,Electrical Installation and Maintenance NC II - Batch 2,TWSP,approved,2027-02-02 09:15:00,Yes,active
